,tweet_id,favorite_count,retweet_count
0,892420643555336193,35765,7565
1,892177421306343426,30897,5605
2,891815181378084864,23237,3715
3,891689557279858688,39064,7751
4,891327558926688256,37309,8346
5,891087950875897856,18811,2803
6,890971913173991426,10927,1819
7,890729181411237888,60284,16929
8,890609185150312448,25870,3854
9,890240255349198849,29554,6586
10,890006608113172480,28458,6572
11,889880896479866881,25892,4474
12,889665388333682689,44545,8973
13,889638837579907072,25082,4018
14,889531135344209921,14059,2026
15,889278841981685760,23351,4784
16,888917238123831296,26991,4028
17,888804989199671297,23692,3798
18,888554962724278272,18289,3113
19,888078434458587136,20216,3118
20,887705289381826560,28091,4845
21,887517139158093824,43015,10578
22,887473957103951883,63731,16144
23,887343217045368832,31230,9412
24,887101392804085760,28421,5358
25,886983233522544640,32355,6870
26,886736880519319552,11094,2874
27,886680336477933568,20858,4015
28,886366144734445568,19604,2842
29,886267009285017600,111,4
30,886258384151887873,25970,5673
31,886054160059072513,0,100
32,885984800019947520,30221,6037
33,885528943205470208,33349,5738
34,885518971528720385,18978,3357
35,885311592912609280,0,16596
36,885167619883638784,20288,3920
37,884925521741709313,71404,16199
38,884876753390489601,25796,5009
39,884562892145688576,22559,4220
40,884441805382717440,25129,5113
41,884247878851493888,67201,18227
42,884162670584377345,18933,2686
43,883838122936631299,20274,3083
44,883482846933004288,42483,8863
45,883360690899218434,21043,3322
46,883117836046086144,34413,5973
47,882992080364220416,22156,3491
48,882762694511734784,26197,4387
49,882627270321602560,25984,5457
50,882268110199369728,41554,10398
51,882045870035918850,27216,4378
52,881906580714921986,22578,3056
53,881666595344535552,47007,9583
54,881633300179243008,115,7
55,881536004380872706,45890,14374
56,881268444196462592,21592,4752
57,880935762899988482,15875,2512
58,880872448815771648,19762,3443
59,880465832366813184,26418,5581
60,880221127280381952,25035,3747
61,880095782870896641,25637,3905
62,879862464715927552,20769,3132
63,879674319642796034,293,10
64,879492040517615616,21810,2870
65,879415818425184262,98180,40035
66,879376492567855104,15623,2820
67,879130579576475649,0,6129
68,879050749262655488,20936,4234
